price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,FURNISHING,TOTAL ROOMS,PARKING SPACE,PROPERTY SIZE,CONDITION,PETS,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,SERVICE CHARGE,NEW PROPERTY,BROKER FEE,FURNISHED,SMOKING,PARTIES,HOUSING QUALITY
"₦ 600,000","Lagos, Ojodu, Yakoyo/Alagbole",Duplex,5 bedrooms,5 bathrooms,per quarter,premier estate otun Akute,premier estate,Furnished,,,300 sqm,Fairly Used,No Pets,"Air Conditioning,Balcony,Wardrobe,24 Hours Electricity,Kitchen Shelf,Kitchen Cabinets,Hot Water,Tiled Floor,Pre Paid Meter,Microwave,Dining Area,Apartment",120000,120000,70000,Yes,,,,,,
"₦ 8,000,000","Lagos, Ikeja, Omole Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,Omole Phase 1,Omole Phase 1,Semi-Furnished,,,400 sqm,Newly Built,Pets Allowed,"Dining Area,Apartment,Kitchen Cabinets,Pop Ceiling,Kitchen Shelf,24 Hours Electricity,Wardrobe,Pre Paid Meter,Hot Water,Balcony,Microwave",,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per quarter,liberty estate independence layout,liberty estate independence layout,Furnished,,,600 sqm,Newly Built,,"Pre Paid Meter,Kitchen Shelf,Refrigerator,Dining Area,Pop Ceiling,24 Hours Electricity,Balcony,Hot Water,Air Conditioning,TV,Tiled Floor,Wardrobe",250000,250000,200000,Yes,,,,,,
"₦ 5,000,000",none,Duplex,5 bedrooms,5 bathrooms,per annum,Premier Layout,Premier Layout,Unfurnished,,,,Newly Built,Pets Allowed,"Pre Paid Meter,Wardrobe,Dining Area,Kitchen Shelf,Balcony,24 Hours Electricity,Hot Water,Kitchen Cabinets,Pop Ceiling,Chandelier,Tiled Floor",,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,Furnished,5,Yes,,,Pets Allowed,,,,,,Yes,Yes,,Allowed,Allowed,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,Furnished,5,Yes,,,,,,,,,,,,,,
"₦ 4,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,1 bathroom,per annum,premier layout (Goshen estate axis (,premier layout,Furnished,,,600 sqm,Newly Built,,"Wardrobe,Hot Water,Apartment,Tiled Floor,Kitchen Shelf,Pop Ceiling,Refrigerator,Chandelier,24 Hours Electricity,Pre Paid Meter",400000,400000,100000,Yes,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,Ada George,,Furnished,5,Yes,,Newly Built,,,,,,,,,,,,Standard
"₦ 7,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,"lekki, Lagos",,Furnished,,,,Newly Built,,,,,,,,,,,,
"₦ 9,500,000","Lagos, Lekki, Jakande",House,5 bedrooms,5 bathrooms,per annum,"Victory Park Estate, Jakande Lekki",Victory Park,Semi-Furnished,,,,Fairly Used,,"Air Conditioning,Hot Water,Pop Ceiling,Refrigerator,Pre Paid Meter,Wardrobe,Kitchen Cabinets,Microwave,Kitchen Shelf,Dining Area,Tiled Floor",950000,950000,200000,Yes,,,,,,
"₦ 6,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,eletu,eletu,Unfurnished,,,,Renovated,,"Dishwasher,Kitchen Shelf,Hot Water,Chandelier,Kitchen Cabinets,Microwave,Wardrobe,Tiled Floor,Balcony,Dining Area,Pop Ceiling,Pre Paid Meter",,,,,,,,,,
